target_id,host_name,planet_name,catalog_period_days,eligible,matched_top5_exact,matched_top1_exact,matched_top5_harmonic_aware,best_candidate_rank,best_candidate_period_days,relative_period_error
11904151,Kepler-10,Kepler-10 b,0.8374907,True,True,True,True,1,0.8374842152251899,7.743100681745219e-06
11904151,Kepler-10,Kepler-10 c,45.294301,True,False,False,False,3,15.095717527775491,0.666719273849143
10593626,Kepler-22,Kepler-22 b,289.863876,False,False,False,False,1,38.68696411387054,0.8665340274623577
5780885,Kepler-7,Kepler-7 b,4.8854892,True,True,True,True,1,4.8851067665565004,7.827945735705555e-05
6922244,Kepler-8,Kepler-8 b,3.5224991,True,True,True,True,1,3.522831344537475,9.432068768311375e-05
3323887,Kepler-9,Kepler-9 d,1.592851,True,False,False,False,5,3.844911027510496,1.4138547971596185
3323887,Kepler-9,Kepler-9 b,19.23891,True,True,True,True,1,19.257068091177715,0.0009438212028496373
3323887,Kepler-9,Kepler-9 c,38.9853,True,True,False,True,4,38.82674980564125,0.004066922515890692
6541920,Kepler-11,Kepler-11 b,10.3039,True,False,False,False,1,7.56251935941988,0.2660527218412563
6541920,Kepler-11,Kepler-11 c,13.0241,True,False,False,False,1,7.56251935941988,0.4193441881266361
6541920,Kepler-11,Kepler-11 d,22.6845,True,False,False,False,1,7.56251935941988,0.6666217302819158
6541920,Kepler-11,Kepler-11 e,31.9996,True,False,False,False,4,39.45654683365829,0.23303250145808962
6541920,Kepler-11,Kepler-11 f,46.6888,True,False,False,False,4,39.45654683365829,0.154903385101817
6541920,Kepler-11,Kepler-11 g,118.3807,False,False,False,False,4,39.45654683365829,0.666697807719854
11804465,Kepler-12,Kepler-12 b,4.4379629,True,True,True,True,1,4.436999035143815,0.00021718632577671926
9941662,Kepler-13,KOI-13 b,1.763588,True,True,True,True,1,1.7635477752861204,2.2808452926348366e-05
10264660,Kepler-14,Kepler-14 b,6.790123,True,True,True,True,1,6.788548778457483,0.00023183991549446947
11359879,Kepler-15,Kepler-15 b,4.942782,True,True,False,True,3,4.9442402994106756,0.00029503615791171
12644769,Kepler-16,Kepler-16 b,228.776,False,False,False,False,1,41.063761723014345,0.8205066889751795
10619192,Kepler-17,Kepler-17 b,1.4857108,True,True,True,True,1,1.4856518128204048,3.970300249234171e-05
8644288,Kepler-18,Kepler-18 b,3.504725,True,False,False,False,5,3.7150783263511444,0.06001992348933061
8644288,Kepler-18,Kepler-18 c,7.64159,True,True,True,True,1,7.642368427767817,0.00010186725116323458
8644288,Kepler-18,Kepler-18 d,14.85888,True,False,False,False,2,15.284002312943414,0.02861065658672901
2571238,Kepler-19,Kepler-19 b,9.28699,True,False,False,True,2,4.644407102983913,0.4999017870177621
6850504,Kepler-20,Kepler-20 b,3.6961049,True,False,False,False,1,3.6180615132110425,0.021115035666048665
6850504,Kepler-20,Kepler-20 e,6.0984882,True,False,False,False,2,5.425815941281542,0.1103014774577179
6850504,Kepler-20,Kepler-20 c,10.8540774,True,False,False,True,2,5.425815941281542,0.5001126543208968
6850504,Kepler-20,Kepler-20 f,19.578328,True,False,False,False,2,5.425815941281542,0.722866225283306
6850504,Kepler-20,Kepler-20 d,77.611455,False,False,False,False,2,5.425815941281542,0.9300900113097798
3632418,Kepler-21,Kepler-21 b,2.7858212,True,True,True,True,1,2.785972910617305,5.4458131521384345e-05
4349452,Kepler-25,Kepler-25 b,6.238297,True,False,False,False,2,6.359876640678559,0.019489235712656594
4349452,Kepler-25,Kepler-25 c,12.7207,True,True,True,True,1,12.71924466369112,0.00011440693585107464
11401755,Kepler-36,Kepler-36 b,13.86825,True,False,False,False,1,16.228613398205983,0.17019908050446042
11401755,Kepler-36,Kepler-36 c,16.21865,True,True,True,True,1,16.228613398205983,0.000614317357238825
9002278,Kepler-62,Kepler-62 b,5.714932,True,True,True,True,1,5.714751718736895,3.154565323004732e-05
9002278,Kepler-62,Kepler-62 c,12.4417,True,False,False,False,1,5.714751718736895,0.5406775827469803
9002278,Kepler-62,Kepler-62 d,18.16406,True,False,False,False,1,5.714751718736895,0.6853813674510603
9002278,Kepler-62,Kepler-62 e,122.3874,False,False,False,False,1,5.714751718736895,0.9533060452404668
9002278,Kepler-62,Kepler-62 f,267.291,False,False,False,False,1,5.714751718736895,0.9786197375940945
11442793,Kepler-90,KOI-351 b,7.008151,True,False,False,False,3,36.13510880257865,4.156154426835074
11442793,Kepler-90,KOI-351 c,8.719375,True,False,False,False,3,36.13510880257865,3.144231530651985
11442793,Kepler-90,Kepler-90 i,14.44912,True,False,False,False,3,36.13510880257865,1.500851872126375
11442793,Kepler-90,KOI-351 d,59.73667,False,False,False,False,5,45.62360322350113,0.23625466194380884
11442793,Kepler-90,KOI-351 e,91.93913,False,False,False,False,5,45.62360322350113,0.503762943770502
11442793,Kepler-90,KOI-351 f,124.9144,False,False,False,False,5,45.62360322350113,0.6347610585849099
11442793,Kepler-90,KOI-351 g,210.73514,False,False,False,False,5,45.62360322350113,0.7835026316754713
11442793,Kepler-90,KOI-351 h,331.60296,False,False,False,False,5,45.62360322350113,0.8624149699281902
