sample_id,target_id,host_name,candidate_rank,label,label_source,matched_planet,negative_category,period_days,duration_hours,depth_fraction,depth_error_fraction,snr,power,duty_cycle,odd_even_mismatch,secondary_depth_fraction,secondary_to_primary_ratio,robust_scatter,transit_count,primary_point_count
10019708-r1,10019708,Kepler-490,1,1,recovered_confirmed_planet,Kepler-490 b,,3.26995381885768,4.0,0.006448186450470001,1.0422726385880581e-05,618.6660007889304,618.6660007889304,0.05096911941248446,0.017593859552842317,2.488370324016387e-06,0.00027686244926673564,0.00031022292138203195,90.0,715.0
10024051-r1,10024051,Kepler-1228,1,1,recovered_confirmed_planet,Kepler-1228 b,,0.5774773830940206,1.0,0.0002387977210781897,9.478649332320582e-06,25.193222441928526,25.193222441928526,0.07215289790818145,0.05230489908348519,-1.2635929091731057e-05,-0.041347198320080776,0.00030560544861861326,499.0,1000.0
10123064-r1,10123064,Kepler-565,1,1,recovered_confirmed_planet,Kepler-565 b,,4.243609771046929,4.0,0.0010455519605089432,1.4324225204969189e-05,72.99186835922077,72.99186835922077,0.039274739115691314,0.19016280690888837,4.951507509631803e-05,0.045786781561140015,0.0004972769041861306,67.0,537.0
10155434-r2,10155434,Kepler-1720,2,1,recovered_confirmed_planet,Kepler-1720 b,,12.72602458451273,8.0,0.00015438230840833386,1.4329070565623816e-05,10.774062958326484,10.774062958326484,0.02619304489942539,0.00019618013348791043,1.4685652568457996e-05,0.052102476426293474,0.0002818609320659256,22.0,337.0
10187017-r1,10187017,Kepler-102,1,1,recovered_confirmed_planet,Kepler-102 e,,16.14741200129976,4.0,0.0006002942728618008,5.036169184898109e-06,119.19660575778408,119.19660575778408,0.010321571447687784,0.037948059620378054,3.1075606021779834e-05,0.04807046662276844,0.00015081861832641198,12.0,95.0
10189546-r1,10189546,Kepler-549,1,1,recovered_confirmed_planet,Kepler-549 d,,24.630995241000342,4.0,0.00068817381101935,2.7974141664343942e-05,24.6003548304219,24.6003548304219,0.0067665421163833495,0.3239258286108419,9.646564440390915e-05,0.1802502128493088,0.00043760674914056745,12.0,97.0
10264660-r1,10264660,Kepler-14,1,1,recovered_confirmed_planet,Kepler-14 b,,6.778052224776733,8.0,0.001037090608290047,2.640933577919036e-06,392.69848244621073,392.69848244621073,0.049178336530789006,0.06315606446411377,1.936443266625787e-05,0.01553665354901073,0.00014849089678233392,33.0,509.0
10290666-r1,10290666,Kepler-526,1,1,recovered_confirmed_planet,Kepler-526 b,,5.454080506587944,4.0,0.000158660702545315,6.15994498663903e-06,25.756837583688057,25.756837583688057,0.03055816034716598,0.023597450879443153,1.2541482387495861e-05,0.07562131355348103,0.0001230586420832194,38.0,308.0
10318874-r4,10318874,Kepler-94,4,1,recovered_confirmed_planet,Kepler-94 b,,2.505563024812149,4.0,0.0002525145533398138,4.050168863368779e-06,62.34667290631968,62.34667290631968,0.06651864870937031,0.13072584550798919,-1.0237740939444961e-06,-0.007626068344361785,0.0001342466455472311,87.0,684.0
10332883-r2,10332883,Kepler-994,2,1,recovered_confirmed_planet,Kepler-994 b,,1.1515009310834072,2.0,0.0002153448299739912,7.192599624263951e-06,29.939777163118315,29.939777163118315,0.07236931476462453,0.05378028077904463,2.4889554157692118e-06,0.007158604494543681,0.0003476872367605033,250.0,1002.0
