model,scope,precision,recall,f1,accuracy,average_precision,roc_auc,fold,test_groups,best_epoch
random_forest,out_of_fold_aggregate,0.631578947368421,0.8,0.7058823529411765,0.9130434782608695,0.817076923076923,0.8866666666666666,,,
random_forest,fold_1,1.0,0.4,0.5714285714285714,0.8,0.8433333333333333,0.8400000000000001,1.0,6.0,
random_forest,fold_2,0.5,1.0,0.6666666666666666,0.9259259259259259,1.0,1.0,2.0,7.0,
random_forest,fold_3,0.5714285714285714,1.0,0.7272727272727273,0.8421052631578947,0.95,0.9833333333333334,3.0,7.0,
random_forest,fold_4,0.3333333333333333,1.0,0.5,0.9354838709677419,1.0,1.0,4.0,7.0,
random_forest,fold_5,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,
cnn_1d,out_of_fold_aggregate,0.25806451612903225,0.5333333333333333,0.34782608695652173,0.7391304347826086,0.4431742420798786,0.7913333333333333,,,
cnn_1d,fold_1,1.0,0.6,0.75,0.8666666666666667,1.0,1.0,1.0,6.0,18.0
cnn_1d,fold_2,0.0,0.0,0.0,0.9259259259259259,0.5833333333333334,0.8,2.0,7.0,12.0
cnn_1d,fold_3,1.0,0.25,0.4,0.8421052631578947,0.7875,0.8833333333333333,3.0,7.0,10.0
cnn_1d,fold_4,0.25,1.0,0.4,0.9032258064516129,1.0,1.0,4.0,7.0,9.0
cnn_1d,fold_5,0.13043478260869565,1.0,0.23076923076923078,0.13043478260869565,0.5555555555555556,0.9166666666666666,5.0,7.0,1.0
